fonte,filme_id,filme_titulo,filme_data_lancamento,filme_nota_media
stephen_king,278,The Shawshank Redemption,09-23-94,8.712
stephen_king,842924,The Life of Chuck,06-05-25,7.311
stephen_king,497,The Green Mile,12-10-99,8.503
stephen_king,1124620,The Monkey,02-14-25,5.995
stephen_king,604079,The Long Walk,09-10-25,0.0
stephen_king,694,The Shining,05-23-80,8.21
stephen_king,346364,It,09-06-17,7.237
stephen_king,474350,It Chapter Two,09-04-19,6.832
stephen_king,353491,The Dark Tower,08-03-17,5.782
stephen_king,7340,Carrie,11-03-76,7.3
stephen_king,865,The Running Man,11-13-87,6.543
stephen_king,5876,The Mist,11-21-07,6.939
stephen_king,235,Stand by Me,08-08-86,7.851
stephen_king,1700,Misery,11-30-90,7.7
stephen_king,501170,Doctor Sleep,10-30-19,7.144
stephen_king,748230,Salem's Lot,10-03-24,6.082
stephen_king,133805,Carrie,10-16-13,6.0
stephen_king,157433,Pet Sematary,04-04-19,5.743
stephen_king,8769,Christine,12-09-83,6.871
stephen_king,6171,Dreamcatcher,03-21-03,5.6
originais,1242011,Together,07-23-25,7.187
originais,1083433,I Know What You Did Last Summer,07-16-25,5.835
originais,1078605,Weapons,08-04-25,7.462
originais,1389158,Maa,06-20-25,7.2
originais,1241470,Osiris,07-25-25,6.587
originais,926606,The Home,07-24-25,6.313
originais,986206,Night Carnage,07-29-25,5.9
originais,1443260,Rob1n,03-20-25,5.1
originais,574475,Final Destination Bloodlines,05-14-25,7.148
originais,1151031,Bring Her Back,05-28-25,7.38
originais,1100988,28 Years Later,06-18-25,6.766
originais,1038392,The Conjuring: Last Rites,09-03-25,7.0
originais,1393382,Popeye's Revenge,02-12-25,5.2
originais,1227003,Shadow of God,03-26-25,5.7
originais,1020822,Animale,09-20-24,6.656
originais,1422052,Descendent,08-08-25,6.065
originais,138843,The Conjuring,07-18-13,7.539
originais,1339166,Shaman,07-16-25,5.575
originais,1278950,The Ritual,04-18-25,5.816
originais,1233413,Sinners,04-16-25,7.541

